Course1,Course2,Course6,Event Probability
D+,A,B,0.1646
D+,A,B-,0.0146
D+,A,C+,0.0109
D+,A,C,0.0022
D+,A,C-,0.0238
D+,A,D+,0.0087
D+,A,D,0.0018
D+,A,D-,0.0001
D+,A,F,0.0001
D+,A-,A,0.9987
D+,A-,A-,0.0008
D+,A-,B+,0
D+,A-,B,0.0004
D+,A-,B-,0.0001
D+,A-,C+,0
D+,A-,C,0
D+,A-,C-,0
D+,A-,D+,0
D+,A-,D,0
D+,A-,D-,0
D+,A-,F,0
D+,B+,A,0.8512
D+,B+,A-,0.0748
D+,B+,B+,0.0176
D+,B+,B,0.0365
D+,B+,B-,0.0017
D+,B+,C+,0.0117
D+,B+,C,0.0057
D+,B+,C-,0.0005
D+,B+,D+,0
D+,B+,D,0.0003
D+,B+,D-,0
D+,B+,F,0
D+,B,A,0.8093
D+,B,A-,0.1296
D+,B,B+,0.0125
D+,B,B,0.0029
D+,B,B-,0.0186
D+,B,C+,0.008
D+,B,C,0.0083
D+,B,C-,0.0019
D+,B,D+,0.0019
D+,B,D,0.0038
D+,B,D-,0.0005
D+,B,F,0.0027
D+,B-,A,0.7941
D+,B-,A-,0.183
D+,B-,B+,0.006
D+,B-,B,0.014
D+,B-,B-,0.0019
D+,B-,C+,0.0008
D+,B-,C,0
D+,B-,C-,0
D+,B-,D+,0
D+,B-,D,0
D+,B-,D-,0
D+,B-,F,0.0002
D+,C+,A,0.6817
D+,C+,A-,0.0374
D+,C+,B+,0.048
D+,C+,B,0.2256
D+,C+,B-,0.0054
D+,C+,C+,0.0001
D+,C+,C,0.0011
D+,C+,C-,0.0007
D+,C+,D+,0
D+,C+,D,0
D+,C+,D-,0
D+,C+,F,0
D+,C,A,0.1148
D+,C,A-,0.8634
D+,C,B+,0.003
D+,C,B,0.0069
D+,C,B-,0.0074
D+,C,C+,0.0031
D+,C,C,0.0003
D+,C,C-,0.0005
D+,C,D+,0.0006
D+,C,D,0
D+,C,D-,0
D+,C,F,0
D+,C-,A,0.7708
D+,C-,A-,0.0669
D+,C-,B+,0.003
D+,C-,B,0.03
D+,C-,B-,0.0134
D+,C-,C+,0.04
D+,C-,C,0.0482
D+,C-,C-,0.0225
D+,C-,D+,0.0007
D+,C-,D,0.0041
D+,C-,D-,0.0003
D+,C-,F,0.0001
D+,D+,A,0.9718
D+,D+,A-,0.0146
D+,D+,B+,0.0013
D+,D+,B,0.0116
D+,D+,B-,0.0005
D+,D+,C+,0.0001
D+,D+,C,0.0001
D+,D+,C-,0
D+,D+,D+,0
D+,D+,D,0
D+,D+,D-,0
D+,D+,F,0
D+,D,A,0.9619
D+,D,A-,0.0299
D+,D,B+,0.0022
D+,D,B,0.0055
D+,D,B-,0
D+,D,C+,0.0003
D+,D,C,0
D+,D,C-,0.0002
D+,D,D+,0
D+,D,D,0
D+,D,D-,0
D+,D,F,0
D+,D-,A,0.656
D+,D-,A-,0.2684
D+,D-,B+,0.0503
D+,D-,B,0.0211
D+,D-,B-,0.0041
D+,D-,C+,0
D+,D-,C,0
D+,D-,C-,0
D+,D-,D+,0
D+,D-,D,0
D+,D-,D-,0
D+,D-,F,0.0001
D+,F,A,0.0707
D+,F,A-,0.3007
D+,F,B+,0.206
D+,F,B,0.0381
D+,F,B-,0.2392
D+,F,C+,0.1064
D+,F,C,0.0289
D+,F,C-,0.0077
D+,F,D+,0.0016
D+,F,D,0.0006
D+,F,D-,0
D+,F,F,0.0001
D,A,A,0.3111
D,A,A-,0.3019
D,A,B+,0.0689
D,A,B,0.0069
D,A,B-,0.0282
D,A,C+,0.1475
D,A,C,0.0405
D,A,C-,0.0748
D,A,D+,0.0168
D,A,D,0.0012
D,A,D-,0.0011
D,A,F,0.0011
D,A-,A,0.5201
D,A-,A-,0.2203
D,A-,B+,0.2296
D,A-,B,0.0113
D,A-,B-,0.0124
D,A-,C+,0.003
D,A-,C,0
D,A-,C-,0.0032
D,A-,D+,0
D,A-,D,0
D,A-,D-,0.0001
D,A-,F,0
D,B+,A,0.9717
D,B+,A-,0.0154
D,B+,B+,0.0073
D,B+,B,0.0018
D,B+,B-,0.0037
D,B+,C+,0
D,B+,C,0.0001
D,B+,C-,0
D,B+,D+,0
D,B+,D,0
D,B+,D-,0
D,B+,F,0
D,B,A,0.1258
D,B,A-,0.5659
D,B,B+,0.1643
D,B,B,0.0282
D,B,B-,0.0596
D,B,C+,0.0181
D,B,C,0.0094
D,B,C-,0.0139
D,B,D+,0.0007
D,B,D,0.0122
D,B,D-,0.0001
D,B,F,0.0018
D,B-,A,0.6288
D,B-,A-,0.2775
D,B-,B+,0.0334
D,B-,B,0.0101
D,B-,B-,0.0322
D,B-,C+,0.0148
D,B-,C,0
D,B-,C-,0.0016
D,B-,D+,0.001
D,B-,D,0
D,B-,D-,0.0003
D,B-,F,0.0003
D,C+,A,0.8824
D,C+,A-,0.0048
D,C+,B+,0.0671
D,C+,B,0.0288
D,C+,B-,0.0126
D,C+,C+,0.0042
D,C+,C,0.0001
D,C+,C-,0
D,C+,D+,0
D,C+,D,0
D,C+,D-,0
D,C+,F,0
D,C,A,0.8714
D,C,A-,0.1237
D,C,B+,0.0004
D,C,B,0.0044
D,C,B-,0.0001
D,C,C+,0
D,C,C,0
D,C,C-,0
D,C,D+,0
D,C,D,0
D,C,D-,0
D,C,F,0
D,C-,A,0.9459
D,C-,A-,0.0185
D,C-,B+,0.0081
D,C-,B,0.0105
D,C-,B-,0.0108
D,C-,C+,0.0027
D,C-,C,0.0015
D,C-,C-,0.0012
D,C-,D+,0.0002
D,C-,D,0.0003
D,C-,D-,0.0003
D,C-,F,0
D,D+,A,0.6943
D,D+,A-,0.2415
D,D+,B+,0.0534
D,D+,B,0.0061
D,D+,B-,0.0005
D,D+,C+,0.0038
D,D+,C,0
D,D+,C-,0.0004
D,D+,D+,0
D,D+,D,0
D,D+,D-,0
D,D+,F,0
D,D,A,0.3557
D,D,A-,0.3349
D,D,B+,0.2747
D,D,B,0.006
D,D,B-,0.011
D,D,C+,0.0065
D,D,C,0.0098
D,D,C-,0.0004
D,D,D+,0.0003
D,D,D,0
D,D,D-,0.0005
D,D,F,0.0002
D,D-,A,0.0672
D,D-,A-,0.4601
D,D-,B+,0.2432
D,D-,B,0.1526
D,D-,B-,0.0002
D,D-,C+,0.0541
D,D-,C,0.019
D,D-,C-,0.0025
D,D-,D+,0.0001
D,D-,D,0.0004
D,D-,D-,0.0004
D,D-,F,0.0002
D,F,A,0.8792
D,F,A-,0.0453
D,F,B+,0.0346
D,F,B,0.0196
D,F,B-,0.0014
D,F,C+,0.0003
D,F,C,0.0047
D,F,C-,0.0031
D,F,D+,0.0063
D,F,D,0.0037
D,F,D-,0.0006
D,F,F,0.0012
D-,A,A,0.306
D-,A,A-,0.5438
D-,A,B+,0.0271
D-,A,B,0.051
D-,A,B-,0.0589
D-,A,C+,0.0107
D-,A,C,0.0006
D-,A,C-,0.0018
D-,A,D+,0
D-,A,D,0.0001
D-,A,D-,0
D-,A,F,0
D-,A-,A,0.6594
D-,A-,A-,0.1712
D-,A-,B+,0.0065
D-,A-,B,0.1454
D-,A-,B-,0.0154
D-,A-,C+,0.0006
D-,A-,C,0.0015
D-,A-,C-,0
D-,A-,D+,0
D-,A-,D,0
D-,A-,D-,0
D-,A-,F,0
D-,B+,A,0.6111
D-,B+,A-,0.2277
D-,B+,B+,0.1515
D-,B+,B,0.0054
D-,B+,B-,0.0018
D-,B+,C+,0.0013
D-,B+,C,0.0003
D-,B+,C-,0.0004
D-,B+,D+,0.0005
D-,B+,D,0
D-,B+,D-,0
D-,B+,F,0
D-,B,A,0.9621
D-,B,A-,0.0317
D-,B,B+,0.0048
D-,B,B,0.0001
D-,B,B-,0.0001
D-,B,C+,0.0004
D-,B,C,0.0003
D-,B,C-,0.0005
D-,B,D+,0
D-,B,D,0
D-,B,D-,0
D-,B,F,0
D-,B-,A,0.8451
D-,B-,A-,0.0825
D-,B-,B+,0.0325
D-,B-,B,0.0249
D-,B-,B-,0.006
D-,B-,C+,0.0084
D-,B-,C,0.0005
D-,B-,C-,0.0001
D-,B-,D+,0
D-,B-,D,0
D-,B-,D-,0
D-,B-,F,0
D-,C+,A,0.5045
D-,C+,A-,0.353
D-,C+,B+,0.0184
D-,C+,B,0.0605
D-,C+,B-,0.0195
D-,C+,C+,0.0101
D-,C+,C,0.0029
D-,C+,C-,0.018
D-,C+,D+,0.0048
D-,C+,D,0.0012
D-,C+,D-,0.0034
D-,C+,F,0.0037
D-,C,A,0.9872
D-,C,A-,0.0055
D-,C,B+,0.0067
D-,C,B,0.0005
D-,C,B-,0.0001
D-,C,C+,0
D-,C,C,0
D-,C,C-,0
D-,C,D+,0
D-,C,D,0
D-,C,D-,0
D-,C,F,0
D-,C-,A,0.7721
D-,C-,A-,0.097
D-,C-,B+,0.1118
D-,C-,B,0.0023
D-,C-,B-,0.005
D-,C-,C+,0.006
D-,C-,C,0.002
D-,C-,C-,0.0004
D-,C-,D+,0.0031
D-,C-,D,0
D-,C-,D-,0.0003
D-,C-,F,0
D-,D+,A,0.8762
D-,D+,A-,0.0802
D-,D+,B+,0.0404
D-,D+,B,0.003
D-,D+,B-,0
D-,D+,C+,0.0001
D-,D+,C,0.0001
D-,D+,C-,0
D-,D+,D+,0
D-,D+,D,0
D-,D+,D-,0
D-,D+,F,0
D-,D,A,0.817
D-,D,A-,0.1514
D-,D,B+,0.0073
D-,D,B,0.0137
D-,D,B-,0.0003
D-,D,C+,0.0054
D-,D,C,0.0007
D-,D,C-,0.0037
D-,D,D+,0.0002
D-,D,D,0.0001
D-,D,D-,0.0001
D-,D,F,0.0001
D-,D-,A,0.5539
D-,D-,A-,0.2575
D-,D-,B+,0.1745
D-,D-,B,0.0065
D-,D-,B-,0.0009
D-,D-,C+,0.0065
D-,D-,C,0
D-,D-,C-,0.0001
D-,D-,D+,0
D-,D-,D,0.0001
D-,D-,D-,0
D-,D-,F,0
D-,F,A,0.6607
D-,F,A-,0.3157
D-,F,B+,0.021
D-,F,B,0.0018
D-,F,B-,0.0003
D-,F,C+,0.0003
D-,F,C,0
D-,F,C-,0.0001
D-,F,D+,0
D-,F,D,0.0001
D-,F,D-,0
D-,F,F,0
F,A,A,0.0041
F,A,A-,0.4043
F,A,B+,0.372
F,A,B,0.0857
F,A,B-,0.0259
F,A,C+,0.0414
F,A,C,0.0539
F,A,C-,0.0074
F,A,D+,0.004
F,A,D,0.0002
F,A,D-,0.0002
F,A,F,0.0009
F,A-,A,0.6358
F,A-,A-,0.325
F,A-,B+,0.0129
F,A-,B,0.015
F,A-,B-,0.0109
F,A-,C+,0.0001
F,A-,C,0
F,A-,C-,0.0002
F,A-,D+,0
F,A-,D,0
F,A-,D-,0
F,A-,F,0.0001
F,B+,A,0.386
F,B+,A-,0.1303
F,B+,B+,0.2874
F,B+,B,0.0179
F,B+,B-,0.1669
F,B+,C+,0.0054
F,B+,C,0.0049
F,B+,C-,0.0003
F,B+,D+,0.0002
F,B+,D,0.0004
F,B+,D-,0.0002
F,B+,F,0.0001
F,B,A,0.4634
F,B,A-,0.5159
F,B,B+,0.003
F,B,B,0.0103
F,B,B-,0.0046
F,B,C+,0.0024
F,B,C,0
F,B,C-,0.0003
F,B,D+,0
F,B,D,0
F,B,D-,0
F,B,F,0.0001
F,B-,A,0.164
F,B-,A-,0.106
F,B-,B+,0.6287
F,B-,B,0.0077
F,B-,B-,0.0333
F,B-,C+,0.0293
F,B-,C,0.0205
F,B-,C-,0.0078
F,B-,D+,0.0007
F,B-,D,0.0011
F,B-,D-,0.0003
F,B-,F,0.0006
F,C+,A,0.0305
F,C+,A-,0.4904
F,C+,B+,0.1382
F,C+,B,0.0683
F,C+,B-,0.0387
F,C+,C+,0.0056
F,C+,C,0.1639
F,C+,C-,0.0461
F,C+,D+,0.0045
F,C+,D,0.0128
F,C+,D-,0.0005
F,C+,F,0.0005
F,C,A,0.1963
F,C,A-,0.4517
F,C,B+,0.271
F,C,B,0.0403
F,C,B-,0.0363
F,C,C+,0.0011
F,C,C,0.0004
F,C,C-,0.0014
F,C,D+,0.0006
F,C,D,0.0009
F,C,D-,0
F,C,F,0
F,C-,A,0.598
F,C-,A-,0.3854
F,C-,B+,0.0121
F,C-,B,0.0001
F,C-,B-,0.0032
F,C-,C+,0.0003
F,C-,C,0.0001
F,C-,C-,0.0004
F,C-,D+,0.0004
F,C-,D,0
F,C-,D-,0
F,C-,F,0
F,D+,A,0.0316
F,D+,A-,0.0259
F,D+,B+,0.4259
F,D+,B,0.1559
F,D+,B-,0.1177
F,D+,C+,0.0901
F,D+,C,0.0629
F,D+,C-,0.0028
F,D+,D+,0.0638
F,D+,D,0.0196
F,D+,D-,0.0031
F,D+,F,0.0007
F,D,A,0.1347
F,D,A-,0.1125
F,D,B+,0.6657
F,D,B,0.0237
F,D,B-,0.0467
F,D,C+,0.0006
F,D,C,0.0153
F,D,C-,0.0004
F,D,D+,0
F,D,D,0.0003
F,D,D-,0
F,D,F,0.0001
F,D-,A,0.2558
F,D-,A-,0.214
F,D-,B+,0.4504
F,D-,B,0.0027
F,D-,B-,0.0064
F,D-,C+,0.0203
F,D-,C,0.0292
F,D-,C-,0.0061
F,D-,D+,0.0126
F,D-,D,0.0022
F,D-,D-,0.0002
F,D-,F,0.0001
F,F,A,0.1842
F,F,A-,0.5998
F,F,B+,0.0443
F,F,B,0.119
F,F,B-,0.0421
F,F,C+,0.0039
F,F,C,0.0067
F,F,C-,0
F,F,D+,0
F,F,D,0
F,F,D-,0
F,F,F,0
