Applications in Information Systems,Artificial Intelligence,Basic Algebra,Business Analytics,Calculus and Analytic Geometry I,Calculus and Analytic Geometry II,Calculus and Analytic Geometry III,Circuit Modeling I,College Algebra,College Writing I,College Writing II,Computer Architecture/Operating Systems,Computer Graphics,Corporate Finance,Data Communications and Computer Networks,Database Design and Implementation,Discrete Mathematics,Discrete Structures,Electrical Engineering Projects and Tools,Elementary Algebra,Elementary Statistics,Engineering Management,Essentials of Anatomy and Physiology,Financial Accounting,Finite Mathematics with Applications,Fundamentals of Engineering Analysis Tools,General Physics I,General Physics II,Human Factors Engineering,Intermediate Algebra,Intermediate Software Engineering,Interpretation of Business and Economic Data,Introduction to Agribusiness,Introduction to Computer Security,Introduction to Marketing,Introduction to Microprocessors,Introduction to Programming,Introduction to Software Engineering,Leadership and Management,Logic and Digital Design,Management Accounting,Mathematical Problem Solving,Microcomputer Applications,Microsoft Excel for Business,Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,Operations Management,Operations Research I,Organizational Behavior,postreq,Precalculus,Principles and Applications of Project Management,Programming in C++,Programming in COBOL,Programming in VB.NET,Programming Language Structures,Quality Engineering,Quality Management,Real-Time Embedded Systems Programming,Software Engineering Project I,Software Engineering Project II,Software Maintenance and Reengineering,Software Quality,Statistical Methods with Applications,Studio College Writing,Systems Analysis and Design,Systems Development and Implementation,Technical Writing,Trigonometry and Analytic Geometry,"Web Protocols, Technologies, and Applications",Windows Programming
B-,$,$,$,D,$,$,$,$,B-,C-,$,$,$,A-,C,$,$,B+,$,B-,$,$,C-,$,$,$,$,$,$,$,$,$,C,C+,$,$,$,B,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,B-,C,B+,$,$,A,$,$,$,$,$,$,$,C,B,C+,D+,$,B+
$,$,$,$,F,$,$,$,C,$,B,$,$,$,$,$,F,$,$,$,B+,$,$,C-,$,$,$,$,$,$,$,$,$,$,B,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,F,$,$,D+,D,F,$,$,B+,$,C,$,$,$,$,$,$,$,$,$,A,$,$,$,D+,$,$,$,$,$,$,C,A-,$,$,$,$,$,$,C-,C+,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,C,$,$,$,A,$,$,$
$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,A,B+,$,$,$,$,$,$,$,$,$,B,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,$,A,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$
$,$,$,$,$,F,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D+,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$
$,$,$,$,B-,$,$,$,A,A,B,A,$,$,A-,B+,B+,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,A-,$,A,A,A,$,$,$,$,$,A,A,A,A-,$,$,$,$,$,A,$,A,A,$,$,$,$,$,$,A,$,$,$,$,A,B,$,B+
$,$,$,$,$,$,$,$,$,B-,B-,$,$,D,$,$,$,$,$,B,$,$,$,C,D,$,$,$,$,B,$,$,$,$,D,$,C+,$,D,$,C-,$,C+,$,$,$,$,$,$,$,$,$,$,C+,D,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,A,$,F,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,B-,$,$,$,$,$,$,F,$,$,$,$,$,$,B-,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B-,$,$,$,B-,D,$,$,$,B,D+,$,$,$,C-,B-,$,$,$,$,C+,$,$,C,C-,$,C-,$,$,$,$,$,$,C+,C-,$,$,$,C,$,D,$,$,$,$,C-,F,$,$,A-,$,C-,$,F,C,C-,$,$,$,$,$,$,$,$,$,$,B-,B,B-,$,$,B-
$,$,$,$,F,$,$,$,$,A,D,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,C,A,$,$,$,$,$,$,F,F,$,$,$,$,D,$,F,F,F,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$
$,C+,$,$,$,B-,B,C-,$,$,A,B+,B-,$,B,$,C+,$,B+,$,$,$,$,$,$,$,B,B,$,$,B-,$,$,B+,$,$,$,B,A-,A-,$,$,$,$,B-,B-,C+,$,$,$,$,$,$,$,$,$,$,$,$,C,B+,B,B,B,C,$,$,$,$,$,$,$
$,$,$,$,C+,C,D,F,$,A,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,C,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,B+,B,$,$,A-,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,B-,$,B,$,$,$,$,$,$,$,B-,$,C+,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$
$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,B-,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,D,$,$,D,F,$,$,$,$,B,F,$,$,B,C-,F,$,A,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,D,B,$,$,$,$,$,C,C,F,$,$,$,$,$,$,A,C,A,B+,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B
$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,C,$,$,D,F,C+,B,$,A-,$,B-,B+,$,B+,$,C,$,A,$,$,$,$,$,$,$,B+,C+,$,$,B,$,$,B-,$,$,$,B,$,B,$,$,$,$,B,A-,B,$,$,$,$,$,$,$,$,$,$,$,$,A,A-,A,B+,A,D,$,$,$,$,$,$,$
$,$,$,$,C,C,C,B,$,A,B,B,$,$,A,A,C,$,A,$,$,$,$,$,$,$,B,C-,$,$,B,$,$,$,$,B+,$,A,A,B+,$,$,$,$,B,B,B,$,$,$,$,$,$,A,$,$,B,$,$,B,B,B+,A,B,C+,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,A-,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,C,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C+,F,$,F,$,C+,B,$,$,$,$,$,D,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,F,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B-,$,$,$,$,$,$,$,$,B+,A,C,$,$,C,C+,$,$,$,$,C,$,$,C-,C,$,$,$,$,D,$,$,$,C,B,$,B,$,A,$,C-,$,$,B+,$,C,$,$,$,C+,$,$,$,B,B-,A,$,$,A-,$,$,$,$,$,$,$,B,C,C+,$,$,B
$,$,$,$,$,$,$,$,$,A,A-,$,$,$,$,$,$,$,$,$,B+,$,$,B,$,$,$,$,$,$,$,$,A,$,$,$,A-,$,A,$,A-,$,$,$,$,$,$,$,$,A-,$,B,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,C,B,B,$,$,C,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,A,$,$,A,$,A,$,A,$,B-,$,A,$,$,$,$,A,$,A-,$,$,$,C,$,B,$,$,A-,$,$,$,$,$,$,$,$,$,B+,C,$,$
$,$,$,$,C,F,$,$,$,C,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,B-,$,$,$,C,D,B+,$,B,C,D,$,$,C,C+,C+,$,A,$,$,$,$,$,$,$,C,C-,$,$,C,$,$,$,$,B-,$,C,A,B+,$,$,$,$,B-,C,C,$,$,$,$,$,$,B,$,A,B,$,$,B-,B-,B,D+,B-,C,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,D+,B-,$,$,A,A,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,$,C,C,$,$,$,$,$,A,C+,C-,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,C,$,$,$,$,$,D+,$,$,C+
$,$,$,$,$,$,$,$,$,A,A,$,$,$,$,$,$,$,$,D,D,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,C,$,C,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,$,B,B,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,B,$,$,C-,C+,B,B-,$,B,B,B+,$,$,B-,$,B,$,A-,$,$,$,$,$,$,$,B,A,$,$,B+,$,$,$,$,A,$,B,A,A-,$,$,$,$,B-,B-,B-,$,$,$,$,$,$,B,$,$,B-,$,$,B-,A-,B,B-,B,C+,$,$,$,$,C+,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B+,$,$,$,D,$,$,$,$,B,F,F,$,$,$,C,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,A-,$,A-,C-,$,$,$,C,$,F,$,$,$,$,B-,$,C,$,$,$,$,$,C,F,C,$,$,$,$,$,$,$,$,$,$,D,B,A,$,$,A-
$,$,$,$,F,$,$,$,$,B,C,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,C,$,$,$,$,$,$,C,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$
$,$,$,$,C,D,C,F,$,B,B,C,$,$,B,B,B,$,B,$,$,$,$,$,$,$,C,B,$,$,B,$,$,$,$,A,$,B,A,C,$,$,$,$,B,C,C,$,$,$,$,C,$,B,$,$,A-,$,$,B,B,A-,C,B,B,$,$,$,$,$,$,$
B,$,$,$,$,$,$,F,$,$,C-,C,$,$,B-,B-,$,$,$,$,$,$,$,A,A-,$,$,$,$,$,$,$,$,C+,B,$,$,$,C,$,B,$,$,$,$,B+,$,$,$,A,$,$,$,B,C,A,$,$,$,$,$,$,$,$,$,$,B+,B,B,$,$,B
$,$,$,$,B,C-,C,D+,$,B,B,B-,$,$,C+,C+,C+,$,A-,$,$,$,$,$,$,$,C-,C-,$,$,B-,$,$,$,$,A-,$,B+,B,A,$,$,$,$,C,B,B-,$,$,$,$,$,$,B,$,$,A-,$,$,B-,C-,B,B,C,D+,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,B,$,$,B,B,A-,$,$,A,A-,B,$,$,B+,B,B,$,A,$,$,$,$,$,$,$,A,B,$,$,A-,$,$,B-,$,A,A,A-,A,B+,$,$,$,$,B+,B,B,$,$,$,$,$,$,A-,$,$,$,$,$,A,A-,A,B+,A,A,$,$,$,$,$,$,$
$,$,$,A,$,$,$,$,A,A,A,$,$,A,$,$,$,$,$,$,A,$,$,A-,A,$,$,$,$,$,$,$,$,$,A,$,A,$,A,$,A-,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$
$,A,$,$,$,B+,B+,B+,$,C+,A,A,$,$,A,$,B+,$,A,$,$,$,$,$,$,$,A,A,$,$,A-,$,$,$,$,A-,$,B+,A,A,$,$,$,$,B+,A,A,$,$,$,$,$,$,$,$,$,A,$,$,A,B+,A-,B+,A-,B+,$,$,$,$,$,$,$
$,$,$,$,$,$,C,$,$,C,F,A-,$,$,$,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,B-,D,$,$,$,$,$,$,B,F,$,$,$,$,$,$,F,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,D+
$,$,$,$,D,$,$,$,$,D,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,C,$,$,$,$,$,$,$,A-,B,A,B,$,B,B,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,A,$,$,$,$,$,B-,A,A,$,$,$,$,$,$,B,$,A,A,$,$,$,$,$,$,B-,$,$,$,$,B+,$,$,A-
$,$,$,$,$,F,$,$,$,$,$,A,A,$,A,A-,F,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,A,B,B,$,$,$,$,$,A-,C,B-,$,$,$,$,$,$,B+,$,$,A-,$,A,$,$,$,A-,$,$,$,$,$,A,$,$,A
$,$,$,$,B,C-,C+,B+,$,B,A-,C+,$,$,A-,B+,B,$,A,$,$,$,$,$,$,$,B-,C,$,$,B,$,$,B,$,$,$,B,B,B+,$,$,$,$,B,C,B-,$,$,$,$,$,$,B+,$,$,A-,$,$,B,A,A,B,A-,C+,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,B-,A,B,$,$,C-,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,C+,$,$,B,$,C+,$,B,$,B,$,B-,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,C,$,$
$,$,$,$,D,F,A-,$,$,B-,B,A-,$,$,C+,B+,B,$,A,$,$,$,$,$,$,$,C,B,$,A,A-,$,$,A-,$,A,A,C,A,B+,$,$,$,$,B,C,B,$,$,$,$,C+,$,C,$,$,B-,$,$,B,A-,B+,A-,B,B-,$,$,$,$,$,$,$
$,$,$,$,$,C,C-,F,$,B,B,$,$,B,$,$,A-,$,A,$,$,$,$,A,$,$,A-,$,$,$,$,$,$,$,B,$,$,$,B,$,A-,$,$,$,$,F,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$
$,$,$,$,B,C-,B-,$,$,A-,B,$,$,$,$,$,$,$,$,$,$,A-,B+,$,$,$,C-,B-,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,$,A,B,$,$,$,B+,$,$,$,$,$,$,C,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,$,$,F,C-,$,$,C+,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,B,C,$,$,F,C,$,$,$,$,$,C-,F,F,$,$,$,$,F,$,C,$,A,C+,$,$,$,$,$,B-,$,$,$,$,$,B,$,$,C
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
A,$,$,$,$,$,$,$,$,$,$,B-,$,A-,B,B+,$,$,$,$,$,$,$,B+,$,$,$,$,$,$,$,F,$,$,B+,$,$,$,B,$,B+,$,$,$,$,B+,$,A,$,$,$,$,$,$,D,B,$,$,$,$,$,$,$,$,$,$,B,B,B,$,$,B
$,$,$,$,F,$,$,$,$,B+,A,B-,$,$,B-,B+,F,$,$,$,$,$,$,C+,$,$,$,$,$,$,C+,$,$,B+,B+,$,$,B+,B+,$,$,$,$,$,B-,B,B,$,$,$,$,$,$,C,$,A-,B,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,C
$,A,$,$,$,$,A,A,$,B,A,B+,$,$,A,A,A,$,A,$,$,$,$,$,$,$,A-,A,$,$,A,$,$,$,$,A,$,A-,A,A,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A,A,A,A,A,A,$,$,$,$,$,$,$
A-,$,$,$,D,$,$,$,$,A,B,$,$,$,C+,B+,$,$,$,$,B+,$,$,B,A,$,$,$,$,$,$,$,$,C+,B,$,A,$,A,$,B-,$,$,$,$,C-,$,B,$,A,$,$,$,D,B,A,$,$,A-,$,$,$,$,$,$,$,B,B+,C+,B,$,C+
$,$,$,$,$,$,$,$,$,F,A-,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,F,$,$,$,$,$,$,F,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,B,$,$,B+,B+,C,$,$,C-,A,B-,$,A-,$,$,$,$,$,$,$,C+,B,$,$,B-,$,$,B,$,B,$,A-,B,B-,$,$,$,$,B,B,C-,$,$,$,$,$,$,B,$,$,D,$,$,A-,A,B,B+,B,B,$,$,$,$,$,$,$
$,$,$,$,D,F,A-,C+,$,$,A,B,$,$,C,A-,B+,$,B,$,$,$,$,$,$,$,B,B-,$,$,C+,$,$,$,$,A,$,C+,C,A-,$,$,$,$,B,B,B,$,$,$,$,$,$,$,$,$,B+,$,$,B+,B+,B,B-,B,B,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,B,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$
$,$,$,$,F,$,$,$,C,C,A,$,$,A,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,B,$,A,B,A,$,A,$,A,$,$,$,$,$,$,A,$,$,$,B,$,$,$,$,B+,$,$,$,$,$,$,$,$,$,$,C,$,$
$,$,$,$,F,$,$,$,$,B,C+,D,$,$,A,B,F,$,$,$,$,$,$,$,B+,$,$,$,$,$,$,$,$,B-,$,$,$,C,B,$,$,$,$,$,B,B-,C-,$,$,$,$,D,$,C,B,$,C-,$,$,$,$,$,B,A,$,$,C,$,A,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,B-,$,$,B,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,B,$,C,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$
$,$,$,$,$,$,$,$,C-,B-,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,$,$,$,$,$,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,C,$,$,$,$,$,$,A,$,$,A-,A,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,$,A,$,$,$,$,$,$,A-,A,A-,$,$,$,$,$,$,B,$,A,A-,$,$,$,$,$,$,$,$,$,$,$,A,$,$,A-
$,C,$,$,F,$,$,$,$,B,B,C+,$,C,C,B-,D,$,$,$,$,$,$,B+,$,$,$,$,$,$,$,$,$,$,A-,$,A,C,B,$,$,$,$,$,B,B+,C,$,$,$,$,$,$,B,B,A-,F,$,$,$,$,$,$,$,$,$,$,$,B+,D,$,B
$,B,$,$,$,C,B,$,$,B,B,C,$,$,D,F,D,$,$,$,$,$,$,$,$,$,B,D,$,$,C,$,$,$,$,$,$,C,B,$,$,$,$,$,C,B,C,$,$,$,$,$,$,A,$,A,B,$,$,C,F,$,C,B,B,$,$,$,B,$,$,$
$,$,$,$,C-,$,$,$,$,A,A,B+,$,A-,B-,B-,C,$,B+,$,$,$,$,B,$,$,$,$,$,B,$,$,$,A-,B,$,A-,B+,B,$,$,$,$,$,B+,C,B,$,$,$,$,C-,$,B,$,A-,B,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,B+
$,$,$,$,C,C,C,C,$,B,C,B,A,$,A,C,F,$,B,$,$,$,$,$,$,$,B,F,$,$,C,$,$,$,$,$,$,C,B,F,$,$,$,$,B,B,B,$,$,$,$,$,$,A,$,C,F,$,$,C,C,B,C,C,F,$,$,$,$,$,$,$
$,$,$,$,A,C-,C,$,$,B-,A,$,$,$,C,$,$,$,$,$,B,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,C,B,$,$,$,$,$,$,B+,F,$,$,$,$,B,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,B-,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,A,$,$,$,$,A,A,$,B,B,A,$,$,A,$,A,$,A,$,$,$,$,$,$,$,A,A,$,$,B,$,$,$,$,A,$,A,A,A-,$,$,$,$,A,A,A,$,$,$,$,$,$,$,$,$,A,$,$,A,A,A,A,B+,A,$,$,$,$,$,$,$
$,$,$,$,F,D,$,F,$,$,$,$,$,$,$,$,F,$,B-,$,$,$,$,D,$,$,F,$,$,$,$,$,$,$,C,$,B,C,C,$,$,$,$,$,$,F,D,$,$,$,$,C-,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
A-,$,$,$,$,$,$,$,$,$,$,C,$,$,C+,B,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,A,$,A,$,C,$,$,$,$,B,$,$,$,$,$,$,$,B,B,A,$,$,$,$,$,$,$,$,$,$,A-,B,A,$,$,A-
$,$,$,$,B,C,C+,D+,$,A,B,C,$,$,C,C+,F,$,A-,$,$,$,$,$,$,$,B-,C,$,$,$,$,$,B,$,$,$,B-,A,$,$,$,$,$,B-,C-,B-,$,$,$,$,B,$,D,$,A,B,$,$,$,$,$,$,$,F,$,$,$,A-,$,$,B-
$,$,$,$,F,B,C,$,$,$,$,B,$,$,B,B,B,$,A,$,$,$,$,$,$,$,C,C+,$,$,B,$,$,B+,$,B+,$,B,A-,C+,$,$,$,$,B,A-,B+,$,$,$,$,$,$,A,$,$,B,$,$,C+,B+,B,B-,B,D,$,$,$,$,$,$,$
$,$,$,$,A,B,B+,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,C+,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,$,B-,C,$,$,$,B,$,$,$,$,$,$,B-,$,$,$,$,$,$,$
B+,$,$,$,F,$,$,$,$,A,A,$,$,$,C,B,$,$,$,$,A-,$,$,C+,C+,$,$,$,$,$,$,$,$,B,B+,$,$,B+,A,$,C+,$,$,$,$,C+,$,$,$,A,$,C,$,C,B-,A,$,$,$,$,$,$,$,$,$,$,A,B,A,$,$,A-
$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
C,$,$,$,$,$,$,$,$,C,B,$,$,$,C-,C,$,$,$,C,C,$,$,C-,D,$,$,$,$,F,$,$,$,B-,C,$,$,$,C,$,B-,$,$,$,$,B-,C,C,$,C+,$,$,$,D,B-,A-,$,$,$,$,$,$,$,$,$,$,C,C,A,$,$,C+
$,B+,$,$,A-,A,B,$,$,B,B+,A,$,$,B+,$,C+,$,$,$,$,C+,B+,$,$,$,B,B,C+,$,A-,$,$,$,$,$,$,A,A,$,$,$,$,$,B,A-,A,$,A,$,$,$,B+,B,$,$,A,A-,$,B,A-,A,B+,A-,B,$,$,$,$,$,$,$
$,$,$,$,$,C,B,B+,$,A,C,C-,$,$,C,C,C,$,A-,$,$,$,$,$,$,$,C,B,$,$,C,$,$,$,$,$,$,B+,B-,C+,$,$,$,$,D,A-,B,$,$,$,$,$,$,B,$,A-,A-,$,$,$,$,$,$,C+,C-,$,$,$,A-,$,$,B
